,ch,x,y
21,52,421.25907956102503,-676.8062891604022
22,46,456.7897284153182,-678.5129486096675
23,48,492.2746913576727,-680.99429894016
31,47,495.16218929391874,-645.300903813496
30,45,458.8978918940673,-642.765057108953
29,51,422.586905210639,-641.020915345892
28,49,386.2465113066976,-640.0693086413303
27,38,349.8940062415523,-639.9106899085195
26,36,313.5466918387697,-640.5451346413865
25,42,277.22186745144165,-641.9723408785997
24,40,240.93682172862952,-644.1916293472868
32,20,238.30372695982783,-607.681454916883
33,22,275.385864545682,-605.4134142213516
34,33,312.5086546339976,-603.9548558263582
35,35,349.65442878725736,-603.3064739267043
36,29,386.8055076287726,-603.4685771170573
37,31,423.9442092571098,-604.4410882450784
38,24,461.05285766171903,-606.2235444481414
39,26,498.1137911357587,-608.8150973736315
47,25,501.1294968831924,-571.5368796205671
45,30,425.3309917004374,-567.0668078579608
44,28,387.37664442553825,-566.0729382970108
42,32,311.44807297962046,-566.5698967310966
40,19,235.61344573176652,-570.3783399408662
50,10,310.36395435269964,-528.3552714313143
51,12,349.1594351287865,-527.6780937954461
52,1,387.96045618330163,-527.8473962625087
53,3,426.7485503316784,-528.8630982536961
54,5,465.50525654185844,-530.7247163498714
55,7,504.212128720743,-533.431364521646
63,6,507.3628961560632,-494.48360092001485
62,4,467.8056331945287,-491.7174876319036
61,2,428.197441347,-489.8149697476367
60,0,388.55717196762293,-488.7769527626872
59,11,348.90369167771223,-488.60393071692033
58,9,309.25587338626144,-489.2959859594598
